ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	SUBGROUP	FORM	SPANISH	TOKENS	VALUE	BORROWING	MORPHEMES	NOTE	SOURCE
43	s u k	4783	one	SantoTomas	Quechua	ʃuc	uno	s u k	ʃuc				santotomas1951
44	ʃ u x	4783	one	Serena	Quechua	šux	uno	ʃ u x	šux				heggarty2005
45	m a j a	40	one	Sullkatiti	Aymara	maya	uno	m a j a	maya				heggarty2005
46	- u x	4783	one	Taquile	Quechua	ux	uno	u x	ux				heggarty2005
47	χ o k	4783	one	Tarma	Quechua	xuk	uno	χ o k	xuk				adelaar1977
48	ʃ u x	4783	one	Troje	Quechua	šux	uno	ʃ u x	šux				heggarty2005
49	p i: s i	81	one	Tsimu	Uru-Chipaya	pí:si	uno	p i: s i	pí:si				cerron2016
50	x u k	4783	one	Wari	Quechua	huk	uno	x u k	huk				parkerchavez1976
51	- u k	4783	one	Yanac	Quechua	uk	uno	u k	uk				heggarty2005
52	tʃ u n k a	6604	ten	Anonimo	Quechua	chunca	diez	tʃ u n k a	chunca				valera1586
53	ʈ u n k a	6604	ten	Apuri	Quechua	trunka	diez	ʈ u n k a	trunka				shimelman2017
54	tʃ u n k a	6604	ten	Apurimac	Quechua	chunka	diez	tʃ u n k a	chunka				camacho2007
55	tʃ u n k a	6604	ten	Arma	Quechua	chunka	diez	tʃ u n k a	chunka				galvez2003
56	tʃ u n k a	6604	ten	Atalla	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
57	tʃ u n k a	6604	ten	Ayacucho	Quechua	chunka	diez	tʃ u n k a	chunka				soto1976
58	tʃ u n g a	6604	ten	Bobonaza	Quechua	chunga	diez	tʃ u n g a	chunga				orrwrisley1981
59	ʈ u n k a	6604	ten	Cacra-Hongos	Quechua	trunka	diez	ʈ u n k a	trunka				shimelman2017
60	ʈʂ u n g a	6604	ten	Chachapoyas	Quechua	ĉunka	diez	ʈʂ u n g a	ĉunka				taylor2006
61	tʃ u n k a	6604	ten	Chacpar	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
62	ʈʂ u n g a	6604	ten	Chetilla	Quechua	ĉunga	diez	ʈʂ u n g a	ĉunga				heggarty2005
63	t u n k a	6	ten	Chipaya	Uru-Chipaya	tunka	diez	t u n k a	tunka	quechua			heggarty2005
64	tʃ u n k a	6604	ten	Curva	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
65	tʃ u n k a	6604	ten	Cuzco	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
66	tʃ u n k a	6604	ten	CuzquenoAntiguo	Quechua	chunca	diez	tʃ u n k a	chunca				holguin1608
67	tʃ u n k a	6604	ten	Huallaga	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
68	ʈʂ u n k a	6604	ten	Huanca	Quechua	trunka	diez	ʈʂ u n k a	trunka				cerron2018
69	t u n k a	6	ten	Huancane	Aymara	tunka	diez	t u n k a	tunka	quechua			heggarty2005
70	ʈ u n k a	6604	ten	Huangascar	Quechua	trunka	diez	ʈ u n k a	trunka				shimelman2017
71	tʃ u ɲ k a	6604	ten	HuarazHuailas	Quechua	chunka	diez	tʃ u ɲ k a	chunka				parkerchavez1976
72	tʃ u n g a	6604	ten	Imbabura	Quechua	chunga	diez	tʃ u n g a	chunga				gomez2009
73	d i e s	6605	ten	Inkawasi	Quechua	diez	diez	d i e s	diez	esp			heggarty2005
74	k a: l o:	6606	ten	Iruhito	Uru-Chipaya	ka:lo:	diez	k a: l o:	ka:lo:				cerron2016
75	ʈʂ u n k a	71	ten	Jaqaru	Aymara	ĉunka	diez	ʈʂ u n k a	ĉunka	quechua			heggarty2005
76	ʈʂ u n k a	71	ten	Kawki	Aymara	ĉunka	diez	ʈʂ u n k a	ĉunka	quechua			heggarty2005
77	tʃ u n g a	6604	ten	Lamas	Quechua	chunka	diez	tʃ u n g a	chunka				taylor2006
78	ʈʂ u n k a	6604	ten	Laraos	Quechua	ĉunka	diez	ʈʂ u n k a	ĉunka				heggarty2005
79	ʈ u n k a	6604	ten	Lincha-Tana	Quechua	trunka	diez	ʈ u n k a	trunka				shimelman2017
80	tʃ u n k a	6604	ten	Maragua	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
81	tʃ u n g a	6604	ten	Napo	Quechua	chunga	diez	tʃ u n g a	chunga				orrwrisley1981
82	ʈʂ u ŋ k a	6604	ten	Pacaraos	Quechua	trunka	diez	ʈʂ u ŋ k a	trunka				adelaar1982
83	tʃ i n g u	6604	ten	Pastaza	Quechua	chingu	diez	tʃ i n g u	chingu				landerman1973
84	tʃ u n k a	6604	ten	Pocona	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
85	t u n k a	71	ten	Puki	Aymara	tunka	diez	t u n k a	tunka	quechua			heggarty2005
86	tʃ u n k a	6604	ten	Puno	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
87	tʃ u n g a	6604	ten	Putumayo	Quechua	chunga	diez	tʃ u n g a	chunga				tandioy1978
88	tʃ u ɲ k a	6604	ten	Raimondi	Quechua	chunka	diez	tʃ u ɲ k a	chunka				parkerchavez1976
89	ʈ u n k a	6604	ten	SanPedro	Quechua	trunka	diez	ʈ u n k a	trunka				shimelman2017
90	tʃ u ŋ k a	6604	ten	Santiagueno	Quechua	chunka	diez	tʃ u ŋ k a	chunka			in disuse	juanatey2021
91	tʃ u n k a	6604	ten	SantoTomas	Quechua	chunka	diez	tʃ u n k a	chunka				santotomas1951
92	tʃ u n g a	6604	ten	Serena	Quechua	čunga	diez	tʃ u n g a	čunga				heggarty2005
93	t u n k a	71	ten	Sullkatiti	Aymara	tunka	diez	t u n k a	tunka	quechua			heggarty2005
94	tʃ u n k a	6604	ten	Taquile	Quechua	čunka	diez	tʃ u n k a	čunka				heggarty2005
95	ʈʂ u ŋ k a	6604	ten	Tarma	Quechua	ĉun̊ka	diez	ʈʂ u ŋ k a	ĉun̊ka				adelaar1977
96	tʃ u n g a	6604	ten	Troje	Quechua	čunga	diez	tʃ u n g a	čunga				heggarty2005
97	kʰ a: r o	6606	ten	Tsimu	Uru-Chipaya	khá:r̂o	diez	kʰ a: r o	khá:r̂o				cerron2016
98	tʃ u ɲ k a	6604	ten	Wari	Quechua	chunka	diez	tʃ u ɲ k a	chunka				parkerchavez1976
99	ʈʂ u n k a	6604	ten	Yanac	Quechua	ĉunka	diez	ʈʂ u n k a	ĉunka				heggarty2005
102	q o m i r	2579	green	Apurimac	Quechua	qomir	verde (color)	q o m i r	qomir				camacho2007
103	χ i w a	211	green	Atalla	Quechua	χiwa	verde (color)	χ i w a	χiwa				heggarty2005
104	χ u m i ɽ	2579	green	Ayacucho	Quechua	qumiř	verde (color)	χ u m i ɽ	qumiř			Huancavelica only	soto1976
105	b i r d i	2580	green	Bobonaza	Quechua	birdi	verde (color)	b i r d i	birdi	esp			orrwrisley1981
106	tʃ i k j a x	2581	green	Chachapoyas	Quechua	chikyaj	verde (color)	tʃ i k j a x	chikyaj	aymara			taylor2006
107	b e r d e	2580	green	Chacpar	Quechua	verde	verde (color)	b e r d e	verde	esp			heggarty2005
108	tʃ i ʁ j a x	2581	green	Chetilla	Quechua	čiγyax	verde (color)	tʃ i ʁ j a x	čiγyax	aymara			heggarty2005
109	tʃʼ o - j ɲ a -	376	green	Chipaya	Uru-Chipaya	č'ojña	verde (color)	tʃʼ o j ɲ a	č'ojña	aymara			heggarty2005
110	qʼ u m i r	2579	green	Curva	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
111	qʼ u m i r	2579	green	Cuzco	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
112	b e r d e	2580	green	Huallaga	Quechua	verde	verde (color)	b e r d e	verde	esp			heggarty2005
113	b i ɾ d i	2580	green	Huanca	Quechua	birdi	verde (color)	b i ɾ d i	birdi	esp			cerron2018
114	tʃʼ u χ ɲ - a -	377	green	Huancane	Aymara	č'uχña	verde (color)	tʃʼ u χ ɲ a	č'uχña				heggarty2005
115	b e ɾ - i	2580	green	HuarazHuailas	Quechua	beri	verde (color)	b e ɾ i	beri	esp			parkerchavez1976
116	b i ɾ d i	2580	green	Imbabura	Quechua	birdi	verde (color)	b i ɾ d i	birdi	esp			gomez2009
117	tʃ i χ j a χ	2581	green	Inkawasi	Quechua	čiχyaχ	verde (color)	tʃ i χ j a χ	čiχyaχ	aymara			heggarty2005
118	b e r d e	2580	green	Jaqaru	Aymara	verde	verde (color)	b e r d e	verde	esp			heggarty2005
119	tʃ i k j a -	2581	green	Kawki	Aymara	čikya	verde (color)	tʃ i k j a	čikya				heggarty2005
120	tʃ i k j a k	2581	green	Lamas	Quechua	chikjak	verde (color)	tʃ i k j a k	chikjak	aymara			taylor2006
121	b e r d e	2580	green	Laraos	Quechua	verde	verde (color)	b e r d e	verde	esp			heggarty2005
122	qʼ u m i r	2579	green	Maragua	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
123	b i r d i	2580	green	Napo	Quechua	birdi	verde (color)	b i r d i	birdi	esp			orrwrisley1981
124	b e r d i	2580	green	Pacaraos	Quechua	berdi	verde (color)	b e r d i	berdi	esp			adelaar1982
125	k i ʎ u	82	green	Pastaza	Quechua	quillu	verde (color)	k i ʎ u	quillu				landerman1973
126	qʼ u m i r	2579	green	Pocona	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
127	tʃʼ u χ ɲ - a -	377	green	Puki	Aymara	č'uχña	verde (color)	tʃʼ u χ ɲ a	č'uχña				heggarty2005
128	qʼ u m i r	2579	green	Puno	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
129	b e ɾ d i	2580	green	Raimondi	Quechua	berdi	verde (color)	b e ɾ d i	berdi	esp			parkerchavez1976
130	q o m e ɾ	2579	green	Santiagueno	Quechua	qomer	verde (color)	q o m e ɾ	qomer				juanatey2021
131	- o k o - k j a	2577	green	SantoTomas	Quechua	ococya	verde (color)	o k o k j a	ococya				santotomas1951
132	b e r d e	2580	green	Serena	Quechua	verde	verde (color)	b e r d e	verde	esp			heggarty2005
133	tʃʼ u χ ɲ - a -	377	green	Sullkatiti	Aymara	č'uχña	verde (color)	tʃʼ u χ ɲ a	č'uχña				heggarty2005
134	qʼ u m i r	2579	green	Taquile	Quechua	q'umir	verde (color)	qʼ u m i r	q'umir				heggarty2005
135	b e r d e	2580	green	Troje	Quechua	verde	verde (color)	b e r d e	verde	esp			heggarty2005
136	tʃ e q ʎ a -	2581	green	Wari	Quechua	cheqlla	verde (color)	tʃ e q ʎ a	cheqlla	aymara			parkerchavez1976
137	ts i q j a q	2581	green	Yanac	Quechua	tsiqyaq	verde (color)	ts i q j a q	tsiqyaq	aymara			heggarty2005
138	k e ʎ ɔ	82	yellow	Anonimo	Quechua	quello	amarillo	k e ʎ ɔ	quello, carhua				valera1586
139	k a r w a -	7817	yellow	Anonimo	Quechua	carhua	amarillo	k a r w a	quello, carhua				valera1586
140	q a ɾ w a -	7817	yellow	Apuri	Quechua	qarwa	amarillo	q a ɾ w a	qarwa				shimelman2017
141	q a r w a -	7817	yellow	Apurimac	Quechua	qarwa	amarillo	q a r w a	qarwa				camacho2007
142	χ i ʎ u	82	yellow	Arma	Quechua	qillu	amarillo	χ i ʎ u	qillu				galvez2003
143	χ i ʎ u	82	yellow	Atalla	Quechua	χiλu	amarillo	χ i ʎ u	χiλu				heggarty2005
144	χ e ʎ u	82	yellow	Ayacucho	Quechua	qellu	amarillo	χ e ʎ u	qellu				soto1976
145	k i ʎ u	82	yellow	Bobonaza	Quechua	quillu	amarillo	k i ʎ u	quillu				orrwrisley1981
146	q a l w a -	7817	yellow	Cacra-Hongos	Quechua	qarwa	amarillo	q a l w a	qarwa				shimelman2017
147	k i dʑ u	82	yellow	Chachapoyas	Quechua	killu	amarillo	k i dʑ u	killu				taylor2006
148	ɢ a ʎ w a ʃ	7817	yellow	Chacpar	Quechua	ġaλwa.š	amarillo	ɢ a ʎ w a ʃ	ġaλwa.š				heggarty2005
149	q a r w a -	7817	yellow	Chetilla	Quechua	qarwa	amarillo	q a r w a	qarwa				heggarty2005
150	qʼ i ʎ - u	83	yellow	Chipaya	Uru-Chipaya	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
151	qʼ i ʎ u	82	yellow	Curva	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
152	qʼ i ʎ u	82	yellow	Cuzco	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
153	χ i ʎ u	82	yellow	CuzquenoAntiguo	Quechua	qqello	amarillo	χ i ʎ u	qqello, ccarhua				holguin1608
154	χ a r w a -	7817	yellow	CuzquenoAntiguo	Quechua	ccarhua	amarillo	χ a r w a	qqello, ccarhua				holguin1608
155	q a r w a ʃ	7817	yellow	Huallaga	Quechua	qarwa.š	amarillo	q a r w a ʃ	qarwa.š				heggarty2005
156	t u n ʔ u ʂ	158	yellow	Jauja	Quechua	tunqush	amarillo	t u n ʔ u ʂ	tunqush				cerron1976
158	t u n ʔ u ʂ	158	yellow	Huanca	Quechua	tunqush	amarillo	t u n ʔ u ʂ	tunqush				cerron1976
159	qʼ i ʎ - u	110	yellow	Huancane	Aymara	q'iλu	amarillo	qʼ i ʎ u	q'iλu	quechua			heggarty2005
160	q a ɾ w a -	7817	yellow	Huangascar	Quechua	qarwa	amarillo	q a ɾ w a	qarwa				shimelman2017
161	q a ɾ w a ʃ	7817	yellow	HuarazHuailas	Quechua	qarwash	amarillo	q a ɾ w a ʃ	qarwash				parkerchavez1976
162	k i ʎ u	82	yellow	Imbabura	Quechua	killu	amarillo	k i ʎ u	killu				gomez2009
163	χ a r w a -	7817	yellow	Inkawasi	Quechua	χarwa	amarillo	χ a r w a	χarwa				heggarty2005
164	k’ e l j u	83	yellow	Iruhito	Uru-Chipaya	k’élyu	amarillo	k’ e l j u	k’élyu	quechua			cerron2016
165	t j u j u	7820	yellow	Jaqaru	Aymara	tyuyu	amarillo	t j u j u	tyuyu				heggarty2005
166	q a r w a -	108	yellow	Kawki	Aymara	qarwa	amarillo	q a r w a	qar.wa				heggarty2005
167	k i dʑ u	82	yellow	Lamas	Quechua	killu	amarillo	k i dʑ u	killu				taylor2006
168	q a r w a ʃ	7817	yellow	Laraos	Quechua	qarwa.š	amarillo	q a r w a ʃ	qarwa.š				heggarty2005
169	q a ɾ w a -	7817	yellow	Lincha-Tana	Quechua	qarwa	amarillo	q a ɾ w a	qarwa				shimelman2017
170	qʼ i ʎ u	82	yellow	Maragua	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
171	k i ʎ u	82	yellow	Napo	Quechua	quillu	amarillo	k i ʎ u	quillu				orrwrisley1981
172	ʁ a ɾ w a -	7817	yellow	Pacaraos	Quechua	qarwa	amarillo	ʁ a ɾ w a	qarwa				adelaar1982
173	k i ʎ u	82	yellow	Pastaza	Quechua	quillu	amarillo	k i ʎ u	quillu				landerman1973
174	qʼ i ʎ u	82	yellow	Pocona	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
175	qʼ i ʎ - u	110	yellow	Puki	Aymara	q'iλu	amarillo	qʼ i ʎ u	q'iλu	quechua			heggarty2005
176	qʼ i ʎ u	82	yellow	Puno	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
177	x i ʎ u	82	yellow	Putumayo	Quechua	quillu	amarillo	x i ʎ u	quillu				tandioy1978
178	q a ɾ w a ʃ	7817	yellow	Raimondi	Quechua	qarwash	amarillo	q a ɾ w a ʃ	qarwash				parkerchavez1976
179	q a ɾ w a -	7817	yellow	SanPedro	Quechua	qarwa	amarillo	q a ɾ w a	qarwa				shimelman2017
180	q ɪ ʒ u	82	yellow	Santiagueno	Quechua	qellu	amarillo	q ɪ ʒ u	qellu				juanatey2021
181	q i ʎ o	82	yellow	SantoTomas	Quechua	quillo	amarillo	q i ʎ o	quillo, quello				santotomas1951
182	q e ʎ o	82	yellow	SantoTomas	Quechua	quello	amarillo	q e ʎ o	quillo, quello				santotomas1951
183	k i ʎ u	82	yellow	Serena	Quechua	kiλu	amarillo	k i ʎ u	kiλu				heggarty2005
184	qʼ i ʎ - u	110	yellow	Sullkatiti	Aymara	q'iλu	amarillo	qʼ i ʎ u	q'iλu	quechua			heggarty2005
185	qʼ i ʎ u	82	yellow	Taquile	Quechua	q'iλu	amarillo	qʼ i ʎ u	q'iλu				heggarty2005
186	q a ɾ w a ʃ	7817	yellow	Tarma	Quechua	xarwash	amarillo	q a ɾ w a ʃ	xarwash				adelaar1977
187	k i ʒ u	82	yellow	Troje	Quechua	kižu	amarillo	k i ʒ u	kižu				heggarty2005
188	p a: k u:	7818	yellow	Tsimu	Uru-Chipaya	pá:ku:	amarillo	p a: k u:	pá:ku:			quechua, aymara	cerron2016
189	q a ɾ w a ʃ	7817	yellow	Wari	Quechua	qarwash	amarillo	q a ɾ w a ʃ	qarwash				parkerchavez1976
190	q a r w a -	7817	yellow	Yanac	Quechua	qarwa	amarillo	q a r w a	qarwa				heggarty2005
191	h a t u n	207	big	Anonimo	Quechua	hatun	grande	h a t u n	hatun				valera1586
192	h a t u n	207	big	Apuri	Quechua	hatun	grande	h a t u n	hatun				shimelman2017
193	h a t u n	207	big	Apurimac	Quechua	hatun	grande	h a t u n	hatun				camacho2007
194	h a t u ŋ	207	big	Arma	Quechua	hatun	grande	h a t u ŋ	hatun				galvez2003
195	h a t u n	207	big	Atalla	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
196	h a t u ŋ	207	big	Ayacucho	Quechua	hatun	grande	h a t u ŋ	hatun				soto1976
197	h a t u n	207	big	Bobonaza	Quechua	jatun	grande	h a t u n	jatun				orrwrisley1981
198	h a t u n	207	big	Cacra-Hongos	Quechua	hatun	grande	h a t u n	hatun				shimelman2017
199	- a t u n	207	big	Chachapoyas	Quechua	atun	grande	a t u n	atun				taylor2006
200	h a t u n	207	big	Chacpar	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
201	- a t u n	207	big	Chetilla	Quechua	atun	grande	a t u n	atun				heggarty2005
202	m i k t a - - - -	84	big	Chipaya	Uru-Chipaya	mikta	grande	m i k t a	mikta;				heggarty2005
203	- a tʰ u n	207	big	Curva	Quechua	athun	grande	a tʰ u n	athun				heggarty2005
204	h a t u n	207	big	Cuzco	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
205	h a t u n	207	big	CuzquenoAntiguo	Quechua	hatun	grande	h a t u n	hatun				holguin1608
206	h a t u n	207	big	Huallaga	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
207	h a t u n	207	big	Huanca	Quechua	hatun	grande	h a t u n	hatun				cerron2018
209	h a - tʃʼ - a	85	big	Huancane	Aymara	hač'a	grande	h a tʃʼ a	hač'a				heggarty2005
210	h a t u n	207	big	Huangascar	Quechua	hatun	grande	h a t u n	hatun				shimelman2017
211	h a t u n	207	big	HuarazHuailas	Quechua	hatun	grande	h a t u n	hatun				parkerchavez1976
212	x a t u n	207	big	Imbabura	Quechua	jatun	grande	x a t u n	jatun				gomez2009
213	- a t u n	207	big	Inkawasi	Quechua	atun	grande	a t u n	atun				heggarty2005
214	ts a k u a	208	big	Iruhito	Uru-Chipaya	tsákua	grande	ts a k u a	tsákua			puquina	cerron2016
215	- a - x tsʼ a	85	big	Jaqaru	Aymara	axts'a	grande	a x tsʼ a	axts'a				heggarty2005
216	- a s ʈʂ’ - a	85	big	Kawki	Aymara	asĉ'a	grande	a s ʈʂ’ a	asĉ'a				heggarty2005
217	- a t u n	207	big	Lamas	Quechua	atun	grande	a t u n	atun				taylor2006
218	h a t u n	207	big	Laraos	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
219	h a t u n	207	big	Lincha-Tana	Quechua	hatun	grande	h a t u n	hatun				shimelman2017
220	h a t u n	207	big	Maragua	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
221	h a t u n	207	big	Napo	Quechua	jatun	grande	h a t u n	jatun				orrwrisley1981
222	x a t u ŋ	207	big	Pacaraos	Quechua	hatun	grande	x a t u ŋ	hatun				adelaar1982
223	- a t u n	207	big	Pastaza	Quechua	atun	grande	a t u n	atun				landerman1973
224	h a t u n	207	big	Pocona	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
225	h a - tʃʼ - a	85	big	Puki	Aymara	hač'a	grande	h a tʃʼ a	hač'a				heggarty2005
226	h a t u n	207	big	Puno	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
227	- a t u n	207	big	Putumayo	Quechua	atun	grande	a t u n	atun				tandioy1978
228	h a t u n	207	big	SanPedro	Quechua	hatun	grande	h a t u n	hatun				shimelman2017
229	- a t u n	207	big	Santiagueno	Quechua	atun	grande	a t u n	atun				juanatey2021
230	- a t u n	207	big	SantoTomas	Quechua	atun	grande	a t u n	atun				santotomas1996
231	- a t u n	207	big	Serena	Quechua	atun	grande	a t u n	atun				heggarty2005
232	h a - tʃʼ - a	85	big	Sullkatiti	Aymara	hač'a	grande	h a tʃʼ a	hač'a				heggarty2005
233	- a tʰ u n	207	big	Taquile	Quechua	athun	grande	a tʰ u n	athun				heggarty2005
234	χ a t u ŋ	207	big	Tarma	Quechua	xatun̊	grande	χ a t u ŋ	xatun̊				adelaar1977
235	h a t u n	207	big	Troje	Quechua	hatun	grande	h a t u n	hatun				heggarty2005
236	- - - t a n s - a	86	big	Tsimu	Uru-Chipaya	tánsa	grande	t a n s a	tánsa			aymara	cerron2016
237	h a t u n	207	big	Wari	Quechua	hatun	grande	h a t u n	hatun				parkerchavez1976
238	- a t u n	207	big	Yanac	Quechua	atun	grande	a t u n	atun				heggarty2005
239	h a n a n	386	high up	Anonimo	Quechua	hanan	arriba, en alto	h a n a n	hanan, hanac				valera1586
240	h a n a k	3037	high up	Anonimo	Quechua	hanac	arriba, en alto	h a n a k	hanan, hanac				valera1586
241	h a n ai -	3037	high up	Apuri	Quechua	hanay	arriba, en alto	h a n ai	hanay, witray				shimelman2017
242	w i ʈ ai -	3040	high up	Apuri	Quechua	witray	arriba, en alto	w i ʈ ai	hanay, witray				shimelman2017
243	h a n a n	386	high up	Apurimac	Quechua	hanan	arriba, en alto	h a n a n	hanan				camacho2007
244	h a n ai -	3037	high up	Arma	Quechua	hanay	arriba, en alto	h a n ai	hanay				galvez2003
245	h a n a χ	3037	high up	Atalla	Quechua	hana.χ	arriba, en alto	h a n a χ	hana.χ				heggarty2005
246	h a n a χ	3037	high up	Ayacucho	Quechua	hanaq	arriba, en alto	h a n a χ	hanaq				soto1976
247	h a w a	17	high up	Bobonaza	Quechua	jahua	arriba, en alto	h a w a	jahua				orrwrisley1981
248	h a n ai -	3037	high up	Cacra-Hongos	Quechua	hanay	arriba, en alto	h a n ai	hanay, witray				shimelman2017
249	w i ʈ ai -	3040	high up	Cacra-Hongos	Quechua	witray	arriba, en alto	w i ʈ ai	hanay, witray				shimelman2017
250	- a n a x	3037	high up	Chachapoyas	Quechua	anaj	arriba, en alto	a n a x	anaj				taylor2006
251	h a n a -	3037	high up	Chacpar	Quechua	hana	arriba, en alto	h a n a	hana				heggarty2005
252	- a n a χ	3037	high up	Chetilla	Quechua	ana.χ	arriba, en alto	a n a χ	ana.χ				heggarty2005
253	ts e w k u	3039	high up	Chipaya	Uru-Chipaya	tsewku	arriba, en alto	ts e w k u	tsewku				heggarty2005
254	h a n a χ	3037	high up	Curva	Quechua	hana.χ	arriba, en alto	h a n a χ	hana.χ				heggarty2005
255	w i tʃ ai -	3040	high up	Cuzco	Quechua	wičay	arriba, en alto	w i tʃ ai	wiča.y				heggarty2005
256	h a n a n	386	high up	CuzquenoAntiguo	Quechua	hanan	arriba, en alto	h a n a n	hanan, hanak				holguin1608
257	h a n a k	3037	high up	CuzquenoAntiguo	Quechua	hanak	arriba, en alto	h a n a k	hanan, hanak				holguin1608
