ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Borrowing,Partial_Cognacy
Imbabura-1_one-1,,Imbabura,1_one,shuk,shuk,ʃ u k,,gomez2009,586,,,,,4783
Inkawasi-1_one-1,,Inkawasi,1_one,uk,uk,u k,,heggarty2005,586,,,,,4783
Iruhito-1_one-1,,Iruhito,1_one,tsi:,tsi:,t s i:,,cerron2016,838,,,,,79
Jaqaru-1_one-1,,Jaqaru,1_one,maya,maya,m a j a,,heggarty2005,520,,,,,40
Kawki-1_one-1,,Kawki,1_one,maya,maya,m a j a,,heggarty2005,520,,,,,40
Lamas-1_one-1,,Lamas,1_one,suk,suk,s u k,,taylor2006,586,,,,,4783
Laraos-1_one-1,,Laraos,1_one,huk,huk,h u k,,heggarty2005,586,,,,,4783
Lincha-Tana-1_one-1,,Lincha-Tana,1_one,huk,huk,h u k,,shimelman2017,586,,,,,4783
Maragua-1_one-1,,Maragua,1_one,ux,ux,u x,,heggarty2005,586,,,,,4783
Napo-1_one-1,,Napo,1_one,shuj,shuj,ʃ u,,orrwrisley1981,586,,,,,4783
Pacaraos-1_one-1,,Pacaraos,1_one,huk,huk,x u k,,adelaar1982,586,,,,,4783
Pastaza-1_one-1,,Pastaza,1_one,shuc,shuc,ʃ u k,,landerman1973,586,,,,,4783
Pocona-1_one-1,,Pocona,1_one,ux,ux,u x,,heggarty2005,586,,,,,4783
Puki-1_one-1,,Puki,1_one,maya,maya,m a j a,,heggarty2005,520,,,,,40
Puno-1_one-1,,Puno,1_one,ux,ux,u x,,heggarty2005,586,,,,,4783
Putumayo-1_one-1,,Putumayo,1_one,sug,sug,s u g,,tandioy1978,586,,,,,4783
Raimondi-1_one-1,,Raimondi,1_one,huk,huk,x u k,,parkerchavez1976,586,,,,,4783
SanPedro-1_one-1,,SanPedro,1_one,huk,huk,h u k,,shimelman2017,586,,,,,4783
Santiagueno-1_one-1,,Santiagueno,1_one,suk,suk,s u x,,juanatey2021,586,,,,,4783
SantoTomas-1_one-1,,SantoTomas,1_one,ʃuc,ʃuc,s u k,,santotomas1951,586,,,,,4783
Serena-1_one-1,,Serena,1_one,šux,šux,ʃ u x,,heggarty2005,586,,,,,4783
Sullkatiti-1_one-1,,Sullkatiti,1_one,maya,maya,m a j a,,heggarty2005,520,,,,,40
Taquile-1_one-1,,Taquile,1_one,ux,ux,u x,,heggarty2005,586,,,,,4783
Tarma-1_one-1,,Tarma,1_one,xuk,xuk,χ o k,,adelaar1977,586,,,,,4783
Troje-1_one-1,,Troje,1_one,šux,šux,ʃ u x,,heggarty2005,586,,,,,4783
Tsimu-1_one-1,,Tsimu,1_one,pí:si,pí:si,p i: s i,,cerron2016,846,,,,,81
Wari-1_one-1,,Wari,1_one,huk,huk,x u k,,parkerchavez1976,586,,,,,4783
Yanac-1_one-1,,Yanac,1_one,uk,uk,u k,,heggarty2005,586,,,,,4783
Anonimo-10_ten-1,,Anonimo,10_ten,chunca,chunca,tʃ u n k a,,valera1586,729,,,,,6604
Apuri-10_ten-1,,Apuri,10_ten,trunka,trunka,ʈ u n k a,,shimelman2017,729,,,,,6604
Apurimac-10_ten-1,,Apurimac,10_ten,chunka,chunka,tʃ u n k a,,camacho2007,729,,,,,6604
Arma-10_ten-1,,Arma,10_ten,chunka,chunka,tʃ u n k a,,galvez2003,729,,,,,6604
Atalla-10_ten-1,,Atalla,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Ayacucho-10_ten-1,,Ayacucho,10_ten,chunka,chunka,tʃ u n k a,,soto1976,729,,,,,6604
Bobonaza-10_ten-1,,Bobonaza,10_ten,chunga,chunga,tʃ u n g a,,orrwrisley1981,729,,,,,6604
Cacra-Hongos-10_ten-1,,Cacra-Hongos,10_ten,trunka,trunka,ʈ u n k a,,shimelman2017,729,,,,,6604
Chachapoyas-10_ten-1,,Chachapoyas,10_ten,ĉunka,ĉunka,ʈʂ u n g a,,taylor2006,729,,,,,6604
Chacpar-10_ten-1,,Chacpar,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Chetilla-10_ten-1,,Chetilla,10_ten,ĉunga,ĉunga,ʈʂ u n g a,,heggarty2005,729,,,,,6604
Chipaya-10_ten-1,,Chipaya,10_ten,tunka,tunka,t u n k a,,heggarty2005,685,,,,quechua,6
Curva-10_ten-1,,Curva,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Cuzco-10_ten-1,,Cuzco,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
CuzquenoAntiguo-10_ten-1,,CuzquenoAntiguo,10_ten,chunca,chunca,tʃ u n k a,,holguin1608,729,,,,,6604
Huallaga-10_ten-1,,Huallaga,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Huanca-10_ten-1,,Huanca,10_ten,trunka,trunka,ʈʂ u n k a,,cerron2018,729,,,,,6604
Huancane-10_ten-1,,Huancane,10_ten,tunka,tunka,t u n k a,,heggarty2005,685,,,,quechua,6
Huangascar-10_ten-1,,Huangascar,10_ten,trunka,trunka,ʈ u n k a,,shimelman2017,729,,,,,6604
HuarazHuailas-10_ten-1,,HuarazHuailas,10_ten,chunka,chunka,tʃ u ɲ k a,,parkerchavez1976,729,,,,,6604
Imbabura-10_ten-1,,Imbabura,10_ten,chunga,chunga,tʃ u n g a,,gomez2009,729,,,,,6604
Inkawasi-10_ten-1,,Inkawasi,10_ten,diez,diez,d i e s,,heggarty2005,730,,,,esp,6605
Iruhito-10_ten-1,,Iruhito,10_ten,ka:lo:,ka:lo:,k a: l o:,,cerron2016,731,,,,,6606
Jaqaru-10_ten-1,,Jaqaru,10_ten,ĉunka,ĉunka,ʈʂ u n k a,,heggarty2005,772,,,,quechua,71
Kawki-10_ten-1,,Kawki,10_ten,ĉunka,ĉunka,ʈʂ u n k a,,heggarty2005,772,,,,quechua,71
Lamas-10_ten-1,,Lamas,10_ten,chunka,chunka,tʃ u n g a,,taylor2006,729,,,,,6604
Laraos-10_ten-1,,Laraos,10_ten,ĉunka,ĉunka,ʈʂ u n k a,,heggarty2005,729,,,,,6604
Lincha-Tana-10_ten-1,,Lincha-Tana,10_ten,trunka,trunka,ʈ u n k a,,shimelman2017,729,,,,,6604
Maragua-10_ten-1,,Maragua,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Napo-10_ten-1,,Napo,10_ten,chunga,chunga,tʃ u n g a,,orrwrisley1981,729,,,,,6604
Pacaraos-10_ten-1,,Pacaraos,10_ten,trunka,trunka,ʈʂ u ŋ k a,,adelaar1982,729,,,,,6604
Pastaza-10_ten-1,,Pastaza,10_ten,chingu,chingu,tʃ i n g u,,landerman1973,729,,,,,6604
Pocona-10_ten-1,,Pocona,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Puki-10_ten-1,,Puki,10_ten,tunka,tunka,t u n k a,,heggarty2005,772,,,,quechua,71
Puno-10_ten-1,,Puno,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Putumayo-10_ten-1,,Putumayo,10_ten,chunga,chunga,tʃ u n g a,,tandioy1978,729,,,,,6604
Raimondi-10_ten-1,,Raimondi,10_ten,chunka,chunka,tʃ u ɲ k a,,parkerchavez1976,729,,,,,6604
SanPedro-10_ten-1,,SanPedro,10_ten,trunka,trunka,ʈ u n k a,,shimelman2017,729,,,,,6604
Santiagueno-10_ten-1,,Santiagueno,10_ten,chunka,chunka,tʃ u ŋ k a,in disuse,juanatey2021,729,,,,,6604
SantoTomas-10_ten-1,,SantoTomas,10_ten,chunka,chunka,tʃ u n k a,,santotomas1951,729,,,,,6604
Serena-10_ten-1,,Serena,10_ten,čunga,čunga,tʃ u n g a,,heggarty2005,729,,,,,6604
Sullkatiti-10_ten-1,,Sullkatiti,10_ten,tunka,tunka,t u n k a,,heggarty2005,772,,,,quechua,71
Taquile-10_ten-1,,Taquile,10_ten,čunka,čunka,tʃ u n k a,,heggarty2005,729,,,,,6604
Tarma-10_ten-1,,Tarma,10_ten,ĉun̊ka,ĉun̊ka,ʈʂ u ŋ k a,,adelaar1977,729,,,,,6604
Troje-10_ten-1,,Troje,10_ten,čunga,čunga,tʃ u n g a,,heggarty2005,729,,,,,6604
Tsimu-10_ten-1,,Tsimu,10_ten,khá:r̂o,khá:r̂o,kʰ a: r o,,cerron2016,731,,,,,6606
Wari-10_ten-1,,Wari,10_ten,chunka,chunka,tʃ u ɲ k a,,parkerchavez1976,729,,,,,6604
Yanac-10_ten-1,,Yanac,10_ten,ĉunka,ĉunka,ʈʂ u n k a,,heggarty2005,729,,,,,6604
Apurimac-100_green-1,,Apurimac,100_green,qomir,qomir,q o m i r,,camacho2007,278,,,,,2579
Atalla-100_green-1,,Atalla,100_green,χiwa,χiwa,χ i w a,,heggarty2005,195,,,,,211
Ayacucho-100_green-1,,Ayacucho,100_green,qumiř,qumiř,χ u m i ɽ,Huancavelica only,soto1976,278,,,,,2579
Bobonaza-100_green-1,,Bobonaza,100_green,birdi,birdi,b i r d i,,orrwrisley1981,280,,,,esp,2580
Chachapoyas-100_green-1,,Chachapoyas,100_green,chikyaj,chikyaj,tʃ i k j a x,,taylor2006,281,,,,aymara,2581
Chacpar-100_green-1,,Chacpar,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Chetilla-100_green-1,,Chetilla,100_green,čiγyax,čiγyax,tʃ i ʁ j a x,,heggarty2005,281,,,,aymara,2581
Chipaya-100_green-1,,Chipaya,100_green,č'ojña,č'ojña,tʃʼ o j ɲ a,,heggarty2005,486,,,,aymara,376
Curva-100_green-1,,Curva,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Cuzco-100_green-1,,Cuzco,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Huallaga-100_green-1,,Huallaga,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Huanca-100_green-1,,Huanca,100_green,birdi,birdi,b i ɾ d i,,cerron2018,280,,,,esp,2580
Huancane-100_green-1,,Huancane,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,,heggarty2005,487,,,,,377
HuarazHuailas-100_green-1,,HuarazHuailas,100_green,beri,beri,b e ɾ i,,parkerchavez1976,280,,,,esp,2580
Imbabura-100_green-1,,Imbabura,100_green,birdi,birdi,b i ɾ d i,,gomez2009,280,,,,esp,2580
Inkawasi-100_green-1,,Inkawasi,100_green,čiχyaχ,čiχyaχ,tʃ i χ j a χ,,heggarty2005,281,,,,aymara,2581
Jaqaru-100_green-1,,Jaqaru,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Kawki-100_green-1,,Kawki,100_green,čikya,čikya,tʃ i k j a,,heggarty2005,281,,,,,2581
Lamas-100_green-1,,Lamas,100_green,chikjak,chikjak,tʃ i k j a k,,taylor2006,281,,,,aymara,2581
Laraos-100_green-1,,Laraos,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Maragua-100_green-1,,Maragua,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Napo-100_green-1,,Napo,100_green,birdi,birdi,b i r d i,,orrwrisley1981,280,,,,esp,2580
Pacaraos-100_green-1,,Pacaraos,100_green,berdi,berdi,b e r d i,,adelaar1982,280,,,,esp,2580
Pastaza-100_green-1,,Pastaza,100_green,quillu,quillu,k i ʎ u,,landerman1973,847,,,,,82
Pocona-100_green-1,,Pocona,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Puki-100_green-1,,Puki,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,,heggarty2005,487,,,,,377
Puno-100_green-1,,Puno,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Raimondi-100_green-1,,Raimondi,100_green,berdi,berdi,b e ɾ d i,,parkerchavez1976,280,,,,esp,2580
Santiagueno-100_green-1,,Santiagueno,100_green,qomer,qomer,q o m e ɾ,,juanatey2021,278,,,,,2579
SantoTomas-100_green-1,,SantoTomas,100_green,ococya,ococya,o k o k j a,,santotomas1951,277,,,,,2577
Serena-100_green-1,,Serena,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Sullkatiti-100_green-1,,Sullkatiti,100_green,č'uχña,č'uχña,tʃʼ u χ ɲ a,,heggarty2005,487,,,,,377
Taquile-100_green-1,,Taquile,100_green,q'umir,q'umir,qʼ u m i r,,heggarty2005,278,,,,,2579
Troje-100_green-1,,Troje,100_green,verde,verde,b e r d e,,heggarty2005,280,,,,esp,2580
Wari-100_green-1,,Wari,100_green,cheqlla,cheqlla,tʃ e q ʎ a,,parkerchavez1976,281,,,,aymara,2581
Yanac-100_green-1,,Yanac,100_green,tsiqyaq,tsiqyaq,ts i q j a q,,heggarty2005,281,,,,aymara,2581
Anonimo-101_yellow-1,,Anonimo,101_yellow,"quello, carhua",quello,k e ʎ ɔ,,valera1586,847,,,,,82
Anonimo-101_yellow-2,,Anonimo,101_yellow,"quello, carhua",carhua,k a r w a,,valera1586,830,,,,,7817
Apuri-101_yellow-1,,Apuri,101_yellow,qarwa,qarwa,q a ɾ w a,,shimelman2017,830,,,,,7817
Apurimac-101_yellow-1,,Apurimac,101_yellow,qarwa,qarwa,q a r w a,,camacho2007,830,,,,,7817
Arma-101_yellow-1,,Arma,101_yellow,qillu,qillu,χ i ʎ u,,galvez2003,847,,,,,82
Atalla-101_yellow-1,,Atalla,101_yellow,χiλu,χiλu,χ i ʎ u,,heggarty2005,847,,,,,82
Ayacucho-101_yellow-1,,Ayacucho,101_yellow,qellu,qellu,χ e ʎ u,,soto1976,847,,,,,82
Bobonaza-101_yellow-1,,Bobonaza,101_yellow,quillu,quillu,k i ʎ u,,orrwrisley1981,847,,,,,82
Cacra-Hongos-101_yellow-1,,Cacra-Hongos,101_yellow,qarwa,qarwa,q a l w a,,shimelman2017,830,,,,,7817
Chachapoyas-101_yellow-1,,Chachapoyas,101_yellow,killu,killu,k i dʑ u,,taylor2006,847,,,,,82
Chacpar-101_yellow-1,,Chacpar,101_yellow,ġaλwa.š,ġaλwa.š,ɢ a ʎ w a ʃ,,heggarty2005,830,,,,,7817
Chetilla-101_yellow-1,,Chetilla,101_yellow,qarwa,qarwa,q a r w a,,heggarty2005,830,,,,,7817
Chipaya-101_yellow-1,,Chipaya,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,851,,,,,83
Curva-101_yellow-1,,Curva,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
Cuzco-101_yellow-1,,Cuzco,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
CuzquenoAntiguo-101_yellow-1,,CuzquenoAntiguo,101_yellow,"qqello, ccarhua",qqello,χ i ʎ u,,holguin1608,847,,,,,82
CuzquenoAntiguo-101_yellow-2,,CuzquenoAntiguo,101_yellow,"qqello, ccarhua",ccarhua,χ a r w a,,holguin1608,830,,,,,7817
Huallaga-101_yellow-1,,Huallaga,101_yellow,qarwa.š,qarwa.š,q a r w a ʃ,,heggarty2005,830,,,,,7817
Jauja-101_yellow-1,,Jauja,101_yellow,tunqush,tunqush,t u n ʔ u ʂ,,cerron1976,96,,,,,158
Huanca-101_yellow-1,,Huanca,101_yellow,tunqush,tunqush,t u n ʔ u ʂ,,cerron1976,96,,,,,158
Huancane-101_yellow-1,,Huancane,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,17,,,,quechua,110
Huangascar-101_yellow-1,,Huangascar,101_yellow,qarwa,qarwa,q a ɾ w a,,shimelman2017,830,,,,,7817
HuarazHuailas-101_yellow-1,,HuarazHuailas,101_yellow,qarwash,qarwash,q a ɾ w a ʃ,,parkerchavez1976,830,,,,,7817
Imbabura-101_yellow-1,,Imbabura,101_yellow,killu,killu,k i ʎ u,,gomez2009,847,,,,,82
Inkawasi-101_yellow-1,,Inkawasi,101_yellow,χarwa,χarwa,χ a r w a,,heggarty2005,830,,,,,7817
Iruhito-101_yellow-1,,Iruhito,101_yellow,k’élyu,k’élyu,k’ e l j u,,cerron2016,851,,,,quechua,83
Jaqaru-101_yellow-1,,Jaqaru,101_yellow,tyuyu,tyuyu,t j u j u,,heggarty2005,832,,,,,7820
Kawki-101_yellow-1,,Kawki,101_yellow,qar.wa,qarwa,q a r w a,,heggarty2005,15,,,,,108
Lamas-101_yellow-1,,Lamas,101_yellow,killu,killu,k i dʑ u,,taylor2006,847,,,,,82
Laraos-101_yellow-1,,Laraos,101_yellow,qarwa.š,qarwa.š,q a r w a ʃ,,heggarty2005,830,,,,,7817
Lincha-Tana-101_yellow-1,,Lincha-Tana,101_yellow,qarwa,qarwa,q a ɾ w a,,shimelman2017,830,,,,,7817
Maragua-101_yellow-1,,Maragua,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
Napo-101_yellow-1,,Napo,101_yellow,quillu,quillu,k i ʎ u,,orrwrisley1981,847,,,,,82
Pacaraos-101_yellow-1,,Pacaraos,101_yellow,qarwa,qarwa,ʁ a ɾ w a,,adelaar1982,830,,,,,7817
Pastaza-101_yellow-1,,Pastaza,101_yellow,quillu,quillu,k i ʎ u,,landerman1973,847,,,,,82
Pocona-101_yellow-1,,Pocona,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
Puki-101_yellow-1,,Puki,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,17,,,,quechua,110
Puno-101_yellow-1,,Puno,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
Putumayo-101_yellow-1,,Putumayo,101_yellow,quillu,quillu,x i ʎ u,,tandioy1978,847,,,,,82
Raimondi-101_yellow-1,,Raimondi,101_yellow,qarwash,qarwash,q a ɾ w a ʃ,,parkerchavez1976,830,,,,,7817
SanPedro-101_yellow-1,,SanPedro,101_yellow,qarwa,qarwa,q a ɾ w a,,shimelman2017,830,,,,,7817
Santiagueno-101_yellow-1,,Santiagueno,101_yellow,qellu,qellu,q ɪ ʒ u,,juanatey2021,847,,,,,82
SantoTomas-101_yellow-1,,SantoTomas,101_yellow,"quillo, quello",quillo,q i ʎ o,,santotomas1951,847,,,,,82
SantoTomas-101_yellow-2,,SantoTomas,101_yellow,"quillo, quello",quello,q e ʎ o,,santotomas1951,847,,,,,82
Serena-101_yellow-1,,Serena,101_yellow,kiλu,kiλu,k i ʎ u,,heggarty2005,847,,,,,82
Sullkatiti-101_yellow-1,,Sullkatiti,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,17,,,,quechua,110
Taquile-101_yellow-1,,Taquile,101_yellow,q'iλu,q'iλu,qʼ i ʎ u,,heggarty2005,847,,,,,82
Tarma-101_yellow-1,,Tarma,101_yellow,xarwash,xarwash,q a ɾ w a ʃ,,adelaar1977,830,,,,,7817
Troje-101_yellow-1,,Troje,101_yellow,kižu,kižu,k i ʒ u,,heggarty2005,847,,,,,82
Tsimu-101_yellow-1,,Tsimu,101_yellow,pá:ku:,pá:ku:,p a: k u:,"quechua, aymara",cerron2016,831,,,,,7818
Wari-101_yellow-1,,Wari,101_yellow,qarwash,qarwash,q a ɾ w a ʃ,,parkerchavez1976,830,,,,,7817
Yanac-101_yellow-1,,Yanac,101_yellow,qarwa,qarwa,q a r w a,,heggarty2005,830,,,,,7817
Anonimo-102_big-1,,Anonimo,102_big,hatun,hatun,h a t u n,,valera1586,188,,,,,207
Apuri-102_big-1,,Apuri,102_big,hatun,hatun,h a t u n,,shimelman2017,188,,,,,207
Apurimac-102_big-1,,Apurimac,102_big,hatun,hatun,h a t u n,,camacho2007,188,,,,,207
Arma-102_big-1,,Arma,102_big,hatun,hatun,h a t u ŋ,,galvez2003,188,,,,,207
Atalla-102_big-1,,Atalla,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Ayacucho-102_big-1,,Ayacucho,102_big,hatun,hatun,h a t u ŋ,,soto1976,188,,,,,207
Bobonaza-102_big-1,,Bobonaza,102_big,jatun,jatun,h a t u n,,orrwrisley1981,188,,,,,207
Cacra-Hongos-102_big-1,,Cacra-Hongos,102_big,hatun,hatun,h a t u n,,shimelman2017,188,,,,,207
Chachapoyas-102_big-1,,Chachapoyas,102_big,atun,atun,a t u n,,taylor2006,188,,,,,207
Chacpar-102_big-1,,Chacpar,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Chetilla-102_big-1,,Chetilla,102_big,atun,atun,a t u n,,heggarty2005,188,,,,,207
Chipaya-102_big-1,,Chipaya,102_big,mikta;,mikta,m i k t a,,heggarty2005,852,,,,,84
Curva-102_big-1,,Curva,102_big,athun,athun,a tʰ u n,,heggarty2005,188,,,,,207
Cuzco-102_big-1,,Cuzco,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
CuzquenoAntiguo-102_big-1,,CuzquenoAntiguo,102_big,hatun,hatun,h a t u n,,holguin1608,188,,,,,207
Huallaga-102_big-1,,Huallaga,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Huanca-102_big-1,,Huanca,102_big,hatun,hatun,h a t u n,,cerron2018,188,,,,,207
Huancane-102_big-1,,Huancane,102_big,hač'a,hač'a,h a tʃʼ a,,heggarty2005,853,,,,,85
Huangascar-102_big-1,,Huangascar,102_big,hatun,hatun,h a t u n,,shimelman2017,188,,,,,207
HuarazHuailas-102_big-1,,HuarazHuailas,102_big,hatun,hatun,h a t u n,,parkerchavez1976,188,,,,,207
Imbabura-102_big-1,,Imbabura,102_big,jatun,jatun,x a t u n,,gomez2009,188,,,,,207
Inkawasi-102_big-1,,Inkawasi,102_big,atun,atun,a t u n,,heggarty2005,188,,,,,207
Iruhito-102_big-1,,Iruhito,102_big,tsákua,tsákua,ts a k u a,puquina,cerron2016,189,,,,,208
Jaqaru-102_big-1,,Jaqaru,102_big,axts'a,axts'a,a x tsʼ a,,heggarty2005,853,,,,,85
Kawki-102_big-1,,Kawki,102_big,asĉ'a,asĉ'a,a s ʈʂ’ a,,heggarty2005,853,,,,,85
Lamas-102_big-1,,Lamas,102_big,atun,atun,a t u n,,taylor2006,188,,,,,207
Laraos-102_big-1,,Laraos,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Lincha-Tana-102_big-1,,Lincha-Tana,102_big,hatun,hatun,h a t u n,,shimelman2017,188,,,,,207
Maragua-102_big-1,,Maragua,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Napo-102_big-1,,Napo,102_big,jatun,jatun,h a t u n,,orrwrisley1981,188,,,,,207
Pacaraos-102_big-1,,Pacaraos,102_big,hatun,hatun,x a t u ŋ,,adelaar1982,188,,,,,207
Pastaza-102_big-1,,Pastaza,102_big,atun,atun,a t u n,,landerman1973,188,,,,,207
Pocona-102_big-1,,Pocona,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Puki-102_big-1,,Puki,102_big,hač'a,hač'a,h a tʃʼ a,,heggarty2005,853,,,,,85
Puno-102_big-1,,Puno,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Putumayo-102_big-1,,Putumayo,102_big,atun,atun,a t u n,,tandioy1978,188,,,,,207
SanPedro-102_big-1,,SanPedro,102_big,hatun,hatun,h a t u n,,shimelman2017,188,,,,,207
Santiagueno-102_big-1,,Santiagueno,102_big,atun,atun,a t u n,,juanatey2021,188,,,,,207
SantoTomas-102_big-1,,SantoTomas,102_big,atun,atun,a t u n,,santotomas1996,188,,,,,207
Serena-102_big-1,,Serena,102_big,atun,atun,a t u n,,heggarty2005,188,,,,,207
Sullkatiti-102_big-1,,Sullkatiti,102_big,hač'a,hač'a,h a tʃʼ a,,heggarty2005,853,,,,,85
Taquile-102_big-1,,Taquile,102_big,athun,athun,a tʰ u n,,heggarty2005,188,,,,,207
Tarma-102_big-1,,Tarma,102_big,xatun̊,xatun̊,χ a t u ŋ,,adelaar1977,188,,,,,207
Troje-102_big-1,,Troje,102_big,hatun,hatun,h a t u n,,heggarty2005,188,,,,,207
Tsimu-102_big-1,,Tsimu,102_big,tánsa,tánsa,t a n s a,aymara,cerron2016,854,,,,,86
Wari-102_big-1,,Wari,102_big,hatun,hatun,h a t u n,,parkerchavez1976,188,,,,,207
Yanac-102_big-1,,Yanac,102_big,atun,atun,a t u n,,heggarty2005,188,,,,,207
Anonimo-103_highup-1,,Anonimo,103_highup,"hanan, hanac",hanan,h a n a n,,valera1586,502,,,,,386
Anonimo-103_highup-2,,Anonimo,103_highup,"hanan, hanac",hanac,h a n a k,,valera1586,358,,,,,3037
Apuri-103_highup-1,,Apuri,103_highup,"hanay, witray",hanay,h a n ai,,shimelman2017,358,,,,,3037
Apuri-103_highup-2,,Apuri,103_highup,"hanay, witray",witray,w i ʈ ai,,shimelman2017,361,,,,,3040
Apurimac-103_highup-1,,Apurimac,103_highup,hanan,hanan,h a n a n,,camacho2007,502,,,,,386
Arma-103_highup-1,,Arma,103_highup,hanay,hanay,h a n ai,,galvez2003,358,,,,,3037
